species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
3976,Pseudoclausena chrysogyne,Pasak Lingga Merah,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=3976,https://cms.mybis.gov.my/img/plant.png
52296,Psilotum complanatum,Whisk Fern,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=52296,https://cms.mybis.gov.my/img/fern.png
22349,Pyrrosia lanceolata,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=22349,https://cms.mybis.gov.my/thumbnail/s300_874.jpeg
45686,Pyrrosia longifolia,Suloi,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=45686,https://cms.mybis.gov.my/thumbnail/s300_876.jpeg
42608,Pyrrosia penangiana,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42608,https://cms.mybis.gov.my/thumbnail/s300_881.jpeg
42609,Pyrrosia piloselloides,Sisik Naga,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42609,https://cms.mybis.gov.my/thumbnail/s300_880.jpeg
43672,Pyrrosia rasamalae,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=43672,https://cms.mybis.gov.my/thumbnail/s300_887.jpeg
47848,Rafflesia azlanii,,No Data,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47848,https://cms.mybis.gov.my/thumbnail/s300_8204.jpeg
41804,Rauvolfia verticillata,Beras-beras,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41804,https://cms.mybis.gov.my/thumbnail/s300_356.jpeg
4529,Reinwardtiodendron cinereum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=4529,https://cms.mybis.gov.my/img/plant.png
28032,Sandoricum koetjape,Sentul,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=28032,https://cms.mybis.gov.my/thumbnail/s300_8480.jpeg
27141,Saurauia nudiflora,Belincu,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27141,https://cms.mybis.gov.my/thumbnail/s300_595.jpeg
42800,Saurauia pentapetala,Gelinchu,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42800,https://cms.mybis.gov.my/thumbnail/s300_598.jpeg
44324,Saurauia roxburghii,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=44324,https://cms.mybis.gov.my/thumbnail/s300_599.jpeg
8645,Schizaea dichotoma,Payung Ali,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=8645,https://cms.mybis.gov.my/thumbnail/s300_6826.jpeg
42989,Scleroglossum pusillum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42989,https://cms.mybis.gov.my/thumbnail/s300_1768.jpeg
37798,Scleroglossum sulcatum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=37798,https://cms.mybis.gov.my/thumbnail/s300_1766.jpeg
29989,Scopellaria marginata,Timun Tikus,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=29989,https://cms.mybis.gov.my/img/plant.png
